92,Berserk: Ougon Jidai-hen I - Haou no Tamago,Action,Adventure,Fantasy
93,Seirei no Moribito,Action,Adventure,Fantasy
94,Chrome Shelled Regios,Action,Adventure,Fantasy
95,Edens Zero,Adventure,Comedy,Fantasy
96,Sabikui Bisco,Action,Adventure,Fantasy
97,Fairy Tail Movie 1: Houou no Miko,Action,Adventure,Fantasy
98,Berserk: Ougon Jidai-hen III - Kourin,Action,Adventure,Drama
99,Mo Dao Zu Shi,Action,Adventure,Fantasy
1,No Game No Life,Comedy,Fantasy,Ecchi
3,Mob Psycho 100,Action,Comedy,Supernatural
4,Kono Subarashii Sekai ni Shukufuku wo!,Adventure,Comedy,Fantasy
5,Kill la Kill,Action,Comedy,Ecchi
6,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Comedy,Drama,Romance
7,Soul Eater,Action,Comedy,Fantasy
8,Dr. Stone,Adventure,Comedy,Sci-Fi
10,Tengen Toppa Gurren Lagann,Action,Adventure,Comedy
12,Hataraku Maou-sama!,Comedy,Fantasy,Romance
13,Black Clover,Action,Comedy,Fantasy
14,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Action,Adventure,Comedy
15,Kono Subarashii Sekai ni Shukufuku wo! 2,Adventure,Comedy,Fantasy
16,High School DxD,Comedy,Romance,Ecchi
18,Mob Psycho 100 II,Action,Comedy,Supernatural
21,Tensei shitara Slime Datta Ken,Action,Adventure,Comedy
22,Bungou Stray Dogs,Action,Comedy,Mystery
25,Samurai Champloo,Action,Adventure,Comedy
26,Dragon Ball Z,Action,Adventure,Comedy
27,Kuroshitsuji,Action,Comedy,Mystery
33,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Action,Adventure,Comedy
34,Gintama,Action,Comedy,Sci-Fi
37,Date A Live,Comedy,Romance,Sci-Fi
38,Dragon Ball,Adventure,Comedy,Fantasy
39,Golden Time,Comedy,Drama,Romance
40,Prison School,Comedy,Romance,Ecchi
41,Suzumiya Haruhi no Yuuutsu,Comedy,Mystery,Sci-Fi
43,Dr. Stone: Stone Wars,Adventure,Comedy,Sci-Fi
44,Baccano!,Action,Comedy,Mystery
45,High School DxD New,Action,Comedy,Romance
49,Kekkai Sensen,Action,Comedy,Fantasy
50,Trinity Seven,Action,Comedy,Fantasy
51,Tensei shitara Slime Datta Ken 2nd Season,Action,Adventure,Comedy
52,Akatsuki no Yona,Action,Adventure,Comedy
53,Zero no Tsukaima,Action,Adventure,Comedy
55,Boku wa Tomodachi ga Sukunai,Comedy,Romance,Ecchi
57,FLCL,Action,AvantGarde,Comedy
59,High School DxD BorN,Action,Comedy,Romance
60,Dragon Ball Super,Action,Adventure,Comedy
62,InuYasha,Action,Adventure,Comedy
63,Yamada-kun to 7-nin no Majo,Comedy,Mystery,Romance
64,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Action,Adventure,Comedy
67,Nisemonogatari,Comedy,Mystery,Supernatural
68,Monster Musume no Iru Nichijou,Comedy,Fantasy,Romance
70,Trigun,Action,Adventure,Comedy
72,NHK ni Youkoso!,Comedy,Drama,Romance
74,Eromanga-sensei,Comedy,Drama,Romance
75,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Adventure,Comedy,Fantasy
77,D.Gray-man,Action,Adventure,Comedy
79,Blood Lad,Action,Comedy,Supernatural
81,Rosario to Vampire,Comedy,Fantasy,Romance
84,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,Comedy,Fantasy,Ecchi
87,Monogatari Series: Second Season,Comedy,Mystery,Romance
88,Yuu☆Yuu☆Hakusho,Action,Comedy,Supernatural
92,Gakusen Toshi Asterisk,Action,Comedy,Fantasy
95,Amagi Brilliant Park,Comedy,Drama,Fantasy
97,Saenai Heroine no Sodatekata,Comedy,Romance,Ecchi
98,IS: Infinite Stratos,Action,Comedy,Sci-Fi
0,Kore wa Zombie Desu ka?,Action,Comedy,Supernatural
2,To LOVE-Ru,Comedy,Romance,Sci-Fi
4,Kami nomi zo Shiru Sekai,Comedy,Romance,Supernatural
5,Little Witch Academia (TV),Adventure,Comedy,Fantasy
6,Kamisama Hajimemashita,Comedy,Fantasy,Romance
7,Date A Live II,Comedy,Romance,Sci-Fi
8,Bakuman.,Comedy,Drama,Romance
9,Dragon Ball GT,Action,Adventure,Comedy
10,Pokemon,Action,Adventure,Comedy
